ano_eleicao,par,listas,listas_sem_recursos,pares_vazios,comum,jaccard_agregado,jaccard_medio_listas,jaccard_mediano,A_contida_B,B_contida_A,listas_identicas,listas_financiadas_identicas,concordancia_candidaturas
2018,nucleo_80__acima_divisao_igual,859,73,73,1647.0,0.6777777777777778,0.6597017964882429,0.8,0.7145336225596529,0.9294582392776524,427,354,0.8973787680209698
2018,top_necr__acima_divisao_igual,859,73,73,1643.0,0.6714344094809971,0.6508507285222245,0.75,0.7088006902502157,0.9272009029345373,410,337,0.8946264744429882
2018,top_necr__nucleo_80,859,73,73,2130.0,0.8543922984356197,0.9388375895506613,1.0,0.9188955996548749,0.9240780911062907,675,602,0.9524246395806029
2022,nucleo_80__acima_divisao_igual,711,63,63,2610.0,0.6802189210320563,0.6735389961286967,0.6666666666666666,0.6943335993615323,0.9709821428571429,227,164,0.8731782945736434
2022,top_necr__acima_divisao_igual,711,63,63,2586.0,0.6586856851757514,0.6494690795352049,0.6666666666666666,0.676255230125523,0.9620535714285714,191,128,0.8614987080103359
2022,top_necr__nucleo_80,711,63,63,3444.0,0.8320850446967867,0.8782781213776694,0.875,0.9006276150627615,0.9162011173184358,351,288,0.9281653746770026
