Ano,Magnitude,Indicador,N válido,Indefinidos,Média,Desvio-padrão,Mínimo,P25,Mediana,P75,Máximo
2018,Grande (39–70),NECr,70,0,5.761072173208997,4.542000174079315,1.0,2.2808118615772797,4.485950725860775,7.967846732133338,23.88235737247482
2018,Grande (39–70),Bancada pré-eleitoral (Mp),70,0,2.9285714285714284,2.451390782838659,1.0,1.0,2.0,4.0,13.0
2018,Grande (39–70),NECr / Mp (Mp > 0),70,0,2.479692810330718,2.0449968520385693,0.7370360533829097,1.193788305524607,1.7573200833063258,2.810736235806633,9.953424919535832
2018,Grande (39–70),NECr − Mp (Mp > 0),70,0,2.832500744637568,3.2045580227073374,-0.5259278932341807,0.5382881067639407,1.749596154089008,4.297680247690716,13.882357372474821
2018,Médio (16–31),NECr,107,0,2.5088786688475877,1.8234243893021653,1.0,1.0604513604703252,1.958066394874782,3.123380287553692,10.106729122706541
2018,Médio (16–31),Bancada pré-eleitoral (Mp),107,0,1.6355140186915889,1.1276333821827655,1.0,1.0,1.0,2.0,7.0
2018,Médio (16–31),NECr / Mp (Mp > 0),107,0,1.578462493084407,0.6715577638490909,0.508271609539987,1.0,1.3090796169473558,1.9808985305851667,3.6102438123502014
2018,Médio (16–31),NECr − Mp (Mp > 0),107,0,0.8733646501559993,1.1046496872835954,-0.9834567809200261,0.0,0.5347800813795778,1.4733756173420345,5.159161143235069
2018,Pequeno (8–12),NECr,113,0,1.7083487268726807,0.9211286744213427,1.0,1.0,1.2846975088967973,1.998678821992307,4.654616118909267
2018,Pequeno (8–12),Bancada pré-eleitoral (Mp),113,0,1.1238938053097345,0.3568899230763262,1.0,1.0,1.0,1.0,3.0
2018,Pequeno (8–12),NECr / Mp (Mp > 0),113,0,1.5615952462760838,0.8276630284701537,0.5,1.0,1.1803278688524592,1.8735044720641187,4.654616118909267
2018,Pequeno (8–12),NECr − Mp (Mp > 0),113,0,0.5844549215629464,0.8791736395255085,-1.0,0.0,0.18032786885245922,0.9230769230769229,3.654616118909267
2022,Grande (39–70),NECr,65,0,11.367816736790912,7.290998405852143,1.2514026001614889,5.4010783750773985,10.203362792773314,15.383650600649196,37.6766117799526
2022,Grande (39–70),Bancada pré-eleitoral (Mp),65,0,3.2,2.884224332467917,1.0,1.0,2.0,4.0,15.0
2022,Grande (39–70),NECr / Mp (Mp > 0),65,0,4.961943608457822,4.012568711012268,1.0375089895338263,2.4118441736584493,3.9301620329265083,5.689795557658066,21.799049782426085
2022,Grande (39–70),NECr − Mp (Mp > 0),65,0,8.167816736790913,6.008404510549814,0.07501797906765262,3.40557401294181,7.000460148868219,11.064253026883044,29.6766117799526
2022,Médio (16–31),NECr,90,0,6.52440165056151,3.50218455704337,1.0079521605609199,4.339505426591613,6.227496632099175,8.213922584356286,20.681228712693365
2022,Médio (16–31),Bancada pré-eleitoral (Mp),90,0,1.9444444444444444,1.3185036727598252,1.0,1.0,1.0,2.0,7.0
2022,Médio (16–31),NECr / Mp (Mp > 0),90,0,4.262247799888379,2.8811790276024225,0.7799082836775066,2.1012687404936083,3.3874858242674013,5.734443740829726,13.629380883446684
2022,Médio (16–31),NECr − Mp (Mp > 0),90,0,4.579957206117066,3.3442221394232767,-1.3205502979349601,2.1654267235333053,4.272376215728752,6.361303929874802,18.681228712693365
2022,Pequeno (8–12),NECr,95,0,4.80086416252229,1.9330860567054629,1.0340811162203973,3.3838098136538974,4.750839036747217,6.233114746159651,9.457326951059178
2022,Pequeno (8–12),Bancada pré-eleitoral (Mp),95,0,1.3368421052631578,0.6622098130548649,1.0,1.0,1.0,1.0,4.0
2022,Pequeno (8–12),NECr / Mp (Mp > 0),95,0,4.004519200405298,1.8673695373951922,1.0340811162203973,2.6560527395954905,3.527660428396637,5.514145709959566,8.606649358261999
2022,Pequeno (8–12),NECr − Mp (Mp > 0),95,0,3.4640220572591316,1.8266998321762078,0.034081116220397334,1.981759191647403,3.3624600217526934,4.959861897616821,7.606649358261999
