Ano,UF,Indicador,N válido,Indefinidos,Média,Desvio-padrão,Mínimo,P25,Mediana,P75,Máximo
2018,SC,D = C − NECr,31,2,4.346000883216631,4.6222589963801255,0.0,0.5368267373273684,2.8823549757771003,6.395403947954076,20.0
2018,SC,Q = C / NECr,31,2,2.801159186232556,3.536977660820449,1.0,1.2830833964898367,2.1702961741467837,2.9302501854754235,21.0
2018,SC,NECr / Mp (Mp > 0),9,24,1.7421800711126072,0.8801738672636974,1.0,1.0504674291576086,1.4272488859106325,2.0016574173561192,3.6102438123502014
2018,SC,NECr / E (E > 0),10,23,3.746661024762588,2.7154177458927795,1.0504674291576086,2.0450446456594955,3.349458697708924,4.3543042100109615,10.499775368265674
2018,SC,NECr − E,31,2,2.492708794202724,2.334368982771597,0.0504674291576086,1.0,1.8758790961876546,2.91281384983402,9.499775368265674
2018,SC,Cobertura Top-NECr por lista (%),10,23,96.25,11.858541225631422,62.5,100.0,100.0,100.0,100.0
2018,SC,Precisão Top-NECr por lista (%),31,2,12.661290322580646,24.002719131110492,0.0,0.0,0.0,20.416666666666664,100.0
2018,SE,Candidatos (C),31,0,3.5483870967741935,2.5927939843268093,1.0,2.0,3.0,4.0,12.0
2018,SE,Competitivos (F),31,0,0.45161290322580644,0.6752140242135257,0.0,0.0,0.0,1.0,2.0
2018,SE,Competitivos na lista (%),31,0,20.35330261136713,32.984791782246376,0.0,0.0,0.0,33.333333333333336,100.0
2018,SE,Bancada pré-eleitoral (Mp),31,0,0.25806451612903225,0.4448027229745693,0.0,0.0,0.0,0.5,1.0
2018,SE,Eleitos (E),31,0,0.25806451612903225,0.5143113152870138,0.0,0.0,0.0,0.0,2.0
2018,SE,NECr,26,5,2.3428347826939384,2.219335375974841,1.0,1.0,1.7895455214621854,2.23549895022878,10.27309552130212
2018,SE,D = C − NECr,26,5,1.1187036788445228,1.0233317629731589,0.0,0.48099741946079766,0.947906122159713,1.7240039817992112,4.3292179973248075
2018,SE,Q = C / NECr,26,5,1.6881116581781042,0.798727662116098,1.0,1.1515789616223615,1.4029944732518054,1.9819338326621252,4.0
2018,SE,NECr / Mp (Mp > 0),8,23,1.3837799466837186,0.46504034651458337,1.0,1.0,1.1666348550535732,1.7338557327756252,2.1431109376104875
2018,SE,NECr / E (E > 0),7,24,1.369015953750474,0.5147722177700554,1.0,1.018743410519739,1.0715554688052438,1.6038872159868602,2.266294954434877
2018,SE,NECr − E,26,5,2.035142475001631,2.3880075349341863,0.0,1.0,1.0520938778402869,2.1001083926912356,10.27309552130212
2018,SE,Cobertura Top-NECr por lista (%),7,24,100.0,0.0,100.0,100.0,100.0,100.0,100.0
2018,SE,Precisão Top-NECr por lista (%),26,5,23.076923076923077,40.572821520740284,0.0,0.0,0.0,37.5,100.0
2018,SP,Candidatos (C),34,0,43.61764705882353,30.685120968335042,2.0,16.0,44.0,69.75,97.0
2018,SP,Competitivos (F),34,0,3.1176470588235294,3.51416791205002,0.0,1.0,2.0,4.0,14.0
2018,SP,Competitivos na lista (%),34,0,11.710559375756764,16.04956663993077,0.0,1.1017628205128207,4.784009094353922,16.566985645933016,66.66666666666667
2018,SP,Bancada pré-eleitoral (Mp),34,0,2.0294117647058822,3.0499408252346725,0.0,0.0,1.0,2.75,13.0
