Ano,Partido,Indicador,N válido,Indefinidos,Média,Desvio-padrão,Mínimo,P25,Mediana,P75,Máximo
2022,PSB,Bancada pré-eleitoral (Mp),25,0,0.96,1.019803902718557,0.0,0.0,1.0,1.0,5.0
2022,PSB,Eleitos (E),25,0,0.56,1.083205120618128,0.0,0.0,0.0,1.0,5.0
2022,PSB,NECr,24,1,6.1806572910252475,3.007994903380692,1.0,4.220144315714726,5.772377396178005,7.338142672492638,13.797605225292312
2022,PSB,D = C − NECr,24,1,11.486009375641421,12.861805629830132,1.2694838862099287,4.1121730648494825,6.210989811481481,15.685773696779341,55.62040888468387
2022,PSB,Q = C / NECr,24,1,3.1063558620724105,2.2721103635424225,1.1642172226955665,1.6867025024080178,2.414296103072264,3.25803945980603,9.520036815911265
2022,PSB,NECr / Mp (Mp > 0),18,7,5.55011850021152,2.3197046476513212,1.633900231119013,3.9684376242461012,5.7134118280373,6.791354539046474,11.709789861002553
2022,PSB,NECr / E (E > 0),9,16,6.071002058837581,3.3807807701528616,1.633900231119013,5.0431890715384275,5.689795557658066,6.850435913534023,13.797605225292312
2022,PSB,NECr − E,24,1,5.597323957691914,2.8525540255134585,1.0,3.7638533159830008,5.42083448098021,6.677839635246204,12.797605225292312
2022,PSB,Cobertura Top-NECr por lista (%),9,16,94.44444444444444,16.666666666666668,50.0,100.0,100.0,100.0,100.0
2022,PSB,Precisão Top-NECr por lista (%),24,1,8.082160894660895,14.665892366426212,0.0,0.0,0.0,14.285714285714286,62.5
2022,PSC,Candidatos (C),23,0,17.565217391304348,13.875505189677769,3.0,9.0,13.0,21.0,59.0
2022,PSC,Competitivos (F),23,0,1.3478260869565217,1.4650068461575656,0.0,0.0,1.0,2.5,5.0
2022,PSC,Competitivos na lista (%),23,0,8.932931374530273,12.307480468822437,0.0,0.0,5.084745762711864,12.549019607843139,50.0
2022,PSC,Bancada pré-eleitoral (Mp),23,0,0.34782608695652173,0.5727680517510726,0.0,0.0,0.0,1.0,2.0
2022,PSC,Eleitos (E),23,0,0.2608695652173913,0.540823555863717,0.0,0.0,0.0,0.0,2.0
2022,PSC,NECr,19,4,6.157216376006708,4.219125063252556,1.8910627205203954,3.7112165725840383,5.635187580853818,7.212645890088397,20.547842401500933
2022,PSC,D = C − NECr,19,4,13.737520466098557,13.805678587264305,1.648792363901321,6.5638556709478095,8.580410718414983,15.453353444024547,51.07474882990563
2022,PSC,Q = C / NECr,19,4,4.066706538579087,2.9756749954385278,1.224288640114693,1.5570701972242516,2.75054784514244,6.10189386183335,10.628371048015692
2022,PSC,NECr / Mp (Mp > 0),7,16,4.795770477971947,1.4116781206414795,3.6600468964319797,3.8625059168916414,4.233950790455463,5.300088094517113,7.351207636098679
2022,PSC,NECr / E (E > 0),5,18,4.841926081044706,2.2357042901882807,2.2097946407925084,3.6600468964319797,4.233950790455463,6.180586907449209,7.925251170094371
