Ano,Magnitude,Indicador,N válido,Indefinidos,Média,Desvio-padrão,Mínimo,P25,Mediana,P75,Máximo
2018,Grande (39–70),Candidatos (C),131,0,28.862595419847327,23.83654703916741,1.0,11.0,22.0,44.0,97.0
2018,Grande (39–70),Candidatos com recursos positivos,131,0,20.610687022900763,19.582791707589355,1.0,7.0,14.0,26.0,95.0
2018,Grande (39–70),Candidatos sem recursos partidários,131,0,8.251908396946565,11.902387292181464,0.0,0.0,4.0,10.5,82.0
2018,Grande (39–70),Recursos partidários por lista (R$ nominais),131,0,3092425.3904580153,4193933.685316039,400.0,249891.25,1245770.91,4691274.905,22224153.599999998
2018,Grande (39–70),NECr,131,0,5.3602189023503595,4.705633698656579,1.0,2.0020221376611413,4.084009562440277,7.864865747824487,26.91578513746165
2018,Grande (39–70),D = C − NECr,131,0,23.50237651749697,22.135822845666304,0.0,6.998725335786787,17.670418276865256,35.339423079307466,88.20626106157368
2018,Grande (39–70),Q = C / NECr,131,0,7.582853658881461,7.883289319159783,1.0,2.453047913070969,4.824794380375093,9.314139422556568,50.95263070816963
2018,Médio (16–31),Candidatos (C),242,0,8.47107438016529,8.203404191839727,1.0,3.0,6.0,11.0,40.0
2018,Médio (16–31),Candidatos com recursos positivos,242,0,6.5041322314049586,7.143605755202467,1.0,2.0,4.0,8.75,38.0
2018,Médio (16–31),Candidatos sem recursos partidários,242,0,1.9669421487603307,3.9780181981762084,0.0,0.0,0.0,2.0,24.0
2018,Médio (16–31),Recursos partidários por lista (R$ nominais),242,0,1287297.5363636361,1910323.5010042666,180.0,73305.81,640587.21,1520954.0474999999,12794450.0
2018,Médio (16–31),NECr,242,0,3.0908832453466792,3.378150045421659,1.0,1.002960862663169,1.916420614984057,3.560369061093764,28.999841183986035
2018,Médio (16–31),D = C − NECr,242,0,5.38019113481861,6.791801534040746,0.0,1.0,2.8706522327762456,7.31213585973964,37.04842487547393
