Ano,Indicador,N válido,Indefinidos,Média,Desvio-padrão,Mínimo,P25,Mediana,P75,Máximo
2018,Candidatos (C),486,0,7.205761316872428,11.256835162371786,1.0,2.0,4.0,7.0,97.0
2018,NECr,486,0,2.6999439039012394,3.075827017670773,1.0,1.0,1.6802185875444928,3.0,28.999841183986035
2018,Recursos partidários por lista (R$ nominais),486,0,435916.571872428,674201.7257065633,76.36,29532.5,147987.64,577936.5575000001,5803485.48
2022,Candidatos (C),441,0,10.789115646258503,11.185764873581517,1.0,4.0,9.0,12.0,70.0
2022,NECr,441,0,5.080544737598223,4.41875222229237,1.0,1.998215746182111,3.9741235392320537,6.832807570977917,31.80544177706546
2022,Recursos partidários por lista (R$ nominais),441,0,1744496.2234240363,2283922.8871838967,1000.0,118772.83,555700.0,2982352.78,12359402.26
