Ano,Indicador,N válido,Indefinidos,Média,Desvio-padrão,Mínimo,P25,Mediana,P75,Máximo
2018,Candidatos (C),786,0,9.408396946564885,14.126539353813591,1.0,2.0,4.0,9.75,97.0
2018,Candidatos com recursos positivos,786,0,7.104325699745547,11.040022459857894,1.0,1.0,3.0,7.0,95.0
2018,Candidatos sem recursos partidários,786,0,2.3040712468193383,6.051196330843006,0.0,0.0,0.0,2.0,82.0
2018,Recursos partidários por lista (R$ nominais),786,0,1278986.0186641223,2290076.291480232,76.36,76063.0,469000.0,1465443.245,22224153.599999998
2018,NECr,786,0,2.9621418990773116,3.1695848175911894,1.0,1.0,1.8781287826229383,3.5168189263922534,28.999841183986035
2018,D = C − NECr,786,0,6.446255047487574,12.600461263089056,0.0,0.35829632693194574,1.924042966480206,5.877906556468413,88.20626106157368
2018,Q = C / NECr,786,0,3.2948552800688793,4.329094103802894,1.0,1.1381086657945099,1.9469058205584957,3.424258064231544,50.95263070816963
2022,Candidatos (C),648,0,14.421296296296296,14.27809392631389,1.0,6.0,9.0,18.0,71.0
2022,Candidatos com recursos positivos,648,0,13.25462962962963,13.277503379725651,1.0,5.0,9.0,16.0,70.0
2022,Candidatos sem recursos partidários,648,0,1.1666666666666667,3.38922741078851,0.0,0.0,0.0,1.0,33.0
2022,Recursos partidários por lista (R$ nominais),648,0,4393941.621527778,6582632.169868911,1000.0,270694.275,2342500.0,6008919.645,72415441.9
2022,NECr,648,0,5.9020966888888005,4.8747390912118,1.0,2.4709163160732626,4.8144236052308536,7.575646764260641,37.6766117799526
2022,D = C − NECr,648,0,8.519199607407495,11.568893389058491,0.0,1.3176365338720277,4.0,9.845782473485857,65.98031456520886
2022,Q = C / NECr,648,0,2.666839095909836,2.498581866341325,0.9999999999999998,1.280470568553922,1.8640930724388212,3.0025136397871557,33.66860939264637
