Ano,Indicador,N válido,Indefinidos,Média,Desvio-padrão,Mínimo,P25,Mediana,P75,Máximo
2018,Competitivos (F),292,0,2.335616438356164,2.389200781581923,0.0,1.0,1.0,3.0,16.0
2018,Bancada pré-eleitoral (Mp),292,0,1.7431506849315068,1.5595138697241753,1.0,1.0,1.0,2.0,13.0
2018,F / Mp (Mp > 0),292,0,1.3710179470453443,1.0176928280079989,0.0,1.0,1.0,2.0,7.0
2018,F − Mp (Mp > 0),292,0,0.5924657534246576,1.4484301546545102,-3.0,0.0,0.0,1.0,9.0
2022,Competitivos (F),252,0,4.087301587301587,3.606147564823206,0.0,2.0,3.0,5.0,25.0
2022,Bancada pré-eleitoral (Mp),252,0,2.0317460317460316,1.857198798587332,1.0,1.0,1.0,2.0,15.0
2022,F / Mp (Mp > 0),252,0,2.226233995281614,1.2478570118049856,0.0,1.3833333333333333,2.0,3.0,8.0
2022,F − Mp (Mp > 0),252,0,2.0555555555555554,2.3644294833557296,-1.0,1.0,2.0,3.0,21.0
