Ano,Regra de k,Eleitos,Eleitos cobertos (fracionários),Cobertura nacional (%),Eleitos esperados ao acaso,Cobertura aleatória (%),Posições Top-k,Candidatos,Eleitos em listas sem recursos,Precisão nacional (%),Ganho sobre aleatório (p.p.)
2018,piso,513,423.5,82.55360623781677,194.59312310178726,37.9323826709137,2058,7630,3,20.578231292517007,44.621223566903076
2018,arredondado,513,445.0,86.74463937621833,224.57235494333048,43.77628751331979,2318,7630,3,19.19758412424504,42.968351862898544
2018,teto,513,449.75,87.67056530214425,257.1853528700626,50.13359705069447,2618,7630,3,17.17914438502674,37.536968251449785
2022,piso,513,470.13076923076926,91.64342480131954,208.450155438477,40.63355856500526,3520,9675,0,13.355987762237763,51.009866236314274
2022,arredondado,513,475.1923076923077,92.63007947218473,224.41886437676425,43.74636732490531,3824,9675,0,12.426577084003862,48.883712147279425
2022,teto,513,479.525641025641,93.474783825661,241.7542800434619,47.12559065174696,4119,9675,0,11.641797548571038,46.34919317391405
