ano_eleicao,modelo,variavel,beta_principal,ep_principal,beta_renormalizado,ep_renormalizado,razao_principal,razao_renormalizado
2018,R2,n_eleicoes_governador,1.277301917926266,0.4093231839779802,1.2772290150981513,0.4092697039370356,3.5869487757679015,3.5866872865896124
2018,R2,n_eleicoes_senador,1.3242357886352862,0.26631441325453137,1.3239557889095792,0.2664163918881368,3.7593113485095437,3.7582588897140767
2018,R2,n_eleicoes_deputado_federal,0.6934584012539908,0.03813331175837657,0.6931625860648403,0.038044287999239354,2.00062253825646,2.000030811247121
2018,R2,n_eleicoes_deputado_estadual,0.5377250748383989,0.049688179055653744,0.5378372538667908,0.04968789613352228,1.7121075120431568,1.7122995853734586
2018,R2,n_eleicoes_prefeito,0.45413296404759884,0.06820077801333953,0.4540595613771177,0.06819428259026963,1.5748073763177248,1.5746917854931992
2018,R2,n_eleicoes_vereador,0.2613168700821684,0.04101739052041909,0.2611443839564486,0.041008621323035344,1.2986391001229385,1.2984151222129463
2018,R2,prop_votos_nominais_lag,1.4149787323404421,0.25474321245957693,1.4148501073197977,0.2547040686724599,4.116398918871491,4.115869481025777
2018,R2,qe_sem_vitoria,1.059961756208298,0.1419597610977444,1.0598895529388304,0.1419445892439624,2.886260605607828,2.8860522156788755
2018,R2,mulher,0.3666987046634814,0.057757299744594245,0.3662330444832526,0.05776480244812925,1.4429630955618518,1.4422913215280566
2018,R2,negra,-0.3065827377794036,0.06141271592031152,-0.306713442926813,0.0613935959368218,0.7359576241607186,0.7358614369971812
2018,R1,competitivo,2.0988998931360228,0.08291642173863846,2.099088350069586,0.08287901667555148,8.157191192675652,8.158728616778877
2018,R1,mulher,0.44242906459950215,0.057326123113500646,0.4419750644102524,0.05733320596601516,1.5564834291222227,1.5557769457347677
2018,R1,negra,-0.3068566670233999,0.06284201950605388,-0.30707293616588005,0.0628251757758794,0.7357560514547089,0.7355969473296626
2022,R2,n_eleicoes_governador,0.2879529755503643,0.1750650379734669,0.2885413326480079,0.17504113919228192,1.3336945863948555,1.334479505954704
2022,R2,n_eleicoes_senador,1.238563631134977,0.1828408135686799,1.2382836110080009,0.1828037249548092,3.450653492200183,3.4496873750435832
2022,R2,n_eleicoes_deputado_federal,0.43915328781131513,0.02159676940977204,0.43973643954643526,0.02161858194780883,1.5513930788115255,1.552298040216549
2022,R2,n_eleicoes_deputado_estadual,0.390268763607104,0.027408137279759003,0.3906287349390972,0.027414652574236472,1.4773778059172333,1.477909715304208
2022,R2,n_eleicoes_prefeito,0.3525507737724959,0.03913510130798326,0.3531785321342474,0.03913909152377528,1.422691889349149,1.423585276465161
2022,R2,n_eleicoes_vereador,0.1667695637018708,0.02077887209143153,0.16726712218118545,0.020791655057681963,1.1814819776038556,1.1820699802506907
2022,R2,prop_votos_nominais_lag,1.0248886605692367,0.11933491493132188,1.024924940590706,0.11937281725486425,2.786785164218218,2.7868862706778676
2022,R2,qe_sem_vitoria,0.5313869020055844,0.07245527833677376,0.5319038055356016,0.07244731641012474,1.7012901959461084,1.7021698261763765
2022,R2,mulher,0.28034022435896555,0.03508069373400943,0.2837580477453573,0.035025857363482786,1.3235800499162205,1.328111552290747
2022,R2,negra,-0.07487199457232892,0.03417248681618319,-0.07442201575790859,0.0342745045101992,0.9278622501313329,0.9282798624378912
2022,R1,competitivo,1.522476921897834,0.05422906006484282,1.5242892052689572,0.054234274187469976,4.583564277062751,4.591878525994497
2022,R1,mulher,0.3055702490304816,0.03530870696572897,0.3088043255035355,0.03524689294919239,1.3573988377171924,1.3617958757088882
2022,R1,negra,-0.08064152602845506,0.034631278093985085,-0.08012143921133776,0.03472794533325223,0.922524333139394,0.9230042506721029
