grupo_magnitude,rotulo,beta,ep,razao,razao_ic_inf,razao_ic_sup,n_candidaturas,beta_interacao_ln_mag,ep_interacao_ln_mag,p_interacao_ln_mag,ano_eleicao
Pequeno,Pequeno (8–12),1.5602473657997686,0.11423745902112527,4.759998560368872,3.8050987593135708,5.954533043132131,1466,0.6056086928120193,0.08719460961417222,3.771649659256582e-12,2018
Médio,Médio (16–31),2.3621747830211293,0.13852147306124518,10.614009537908418,8.090355682651762,13.924875850932352,2014,0.6056086928120193,0.08719460961417222,3.771649659256582e-12,2018
Grande,Grande (39–70),2.6010829558588275,0.11822408572037622,13.478326566930699,10.690588210020554,16.993011373738117,3774,0.6056086928120193,0.08719460961417222,3.771649659256582e-12,2018
Pequeno,Pequeno (8–12),1.0809243059653084,0.06829971997106438,2.9474025942091386,2.5781107282642477,3.3695922976122668,2188,0.5763715494061729,0.06197990089307314,0.0,2022
Médio,Médio (16–31),1.7172324011078137,0.08439699324497403,5.569094097405028,4.720025935292202,6.570898018557497,3025,0.5763715494061729,0.06197990089307314,0.0,2022
Grande,Grande (39–70),2.0781182641750098,0.09936976909359643,7.989420781126308,6.575519042357833,9.707346903979857,4050,0.5763715494061729,0.06197990089307314,0.0,2022
