ano_eleicao,sg_uf,ds_cargo,qt_vaga
2006,MA,DEPUTADO ESTADUAL,42
2006,MA,DEPUTADO FEDERAL,18
2006,MG,DEPUTADO ESTADUAL,77
2006,MG,DEPUTADO FEDERAL,53
2006,MS,DEPUTADO ESTADUAL,24
2006,MS,DEPUTADO FEDERAL,8
2006,MT,DEPUTADO ESTADUAL,24
2006,MT,DEPUTADO FEDERAL,8
2006,PA,DEPUTADO ESTADUAL,41
2006,PA,DEPUTADO FEDERAL,17
2006,PB,DEPUTADO ESTADUAL,36
2006,PB,DEPUTADO FEDERAL,12
2006,PE,DEPUTADO ESTADUAL,49
2006,PE,DEPUTADO FEDERAL,25
2006,PI,DEPUTADO ESTADUAL,30
2006,PI,DEPUTADO FEDERAL,10
2006,PR,DEPUTADO ESTADUAL,54
2006,PR,DEPUTADO FEDERAL,30
2006,RJ,DEPUTADO ESTADUAL,70
2006,RJ,DEPUTADO FEDERAL,46
2006,RN,DEPUTADO ESTADUAL,24
2006,RN,DEPUTADO FEDERAL,8
2006,RO,DEPUTADO ESTADUAL,24
2006,RO,DEPUTADO FEDERAL,8
2006,RR,DEPUTADO ESTADUAL,24
2006,RR,DEPUTADO FEDERAL,8
2006,RS,DEPUTADO ESTADUAL,55
2006,RS,DEPUTADO FEDERAL,31
2006,SC,DEPUTADO ESTADUAL,40
2006,SC,DEPUTADO FEDERAL,16
2006,SE,DEPUTADO ESTADUAL,24
2006,SE,DEPUTADO FEDERAL,8
2006,SP,DEPUTADO ESTADUAL,94
2006,SP,DEPUTADO FEDERAL,70
2006,TO,DEPUTADO ESTADUAL,24
2006,TO,DEPUTADO FEDERAL,8
2010,AC,DEPUTADO ESTADUAL,24
2010,AC,DEPUTADO FEDERAL,8
2010,AL,DEPUTADO ESTADUAL,27
2010,AL,DEPUTADO FEDERAL,9
2010,AM,DEPUTADO ESTADUAL,24
2010,AM,DEPUTADO FEDERAL,8
2010,AP,DEPUTADO ESTADUAL,24
2010,AP,DEPUTADO FEDERAL,8
2010,BA,DEPUTADO ESTADUAL,63
2010,BA,DEPUTADO FEDERAL,39
2010,CE,DEPUTADO ESTADUAL,46
2010,CE,DEPUTADO FEDERAL,22
2010,DF,DEPUTADO FEDERAL,8
2010,ES,DEPUTADO ESTADUAL,30
2010,ES,DEPUTADO FEDERAL,10
2010,GO,DEPUTADO ESTADUAL,41
2010,GO,DEPUTADO FEDERAL,17
2010,MA,DEPUTADO ESTADUAL,42
2010,MA,DEPUTADO FEDERAL,18
2010,MG,DEPUTADO ESTADUAL,77
2010,MG,DEPUTADO FEDERAL,53
2010,MS,DEPUTADO ESTADUAL,24
2010,MS,DEPUTADO FEDERAL,8
2010,MT,DEPUTADO ESTADUAL,24
2010,MT,DEPUTADO FEDERAL,8
2010,PA,DEPUTADO ESTADUAL,41
2010,PA,DEPUTADO FEDERAL,17
2010,PB,DEPUTADO ESTADUAL,36
2010,PB,DEPUTADO FEDERAL,12
2010,PE,DEPUTADO ESTADUAL,49
2010,PE,DEPUTADO FEDERAL,25
2010,PI,DEPUTADO ESTADUAL,30
2010,PI,DEPUTADO FEDERAL,10
2010,PR,DEPUTADO ESTADUAL,54
2010,PR,DEPUTADO FEDERAL,30
2010,RJ,DEPUTADO ESTADUAL,70
2010,RJ,DEPUTADO FEDERAL,46
2010,RN,DEPUTADO ESTADUAL,24
2010,RN,DEPUTADO FEDERAL,8
2010,RO,DEPUTADO ESTADUAL,24
2010,RO,DEPUTADO FEDERAL,8
2010,RR,DEPUTADO ESTADUAL,24
2010,RR,DEPUTADO FEDERAL,8
2010,RS,DEPUTADO ESTADUAL,55
2010,RS,DEPUTADO FEDERAL,31
2010,SC,DEPUTADO ESTADUAL,40
2010,SC,DEPUTADO FEDERAL,16
2010,SE,DEPUTADO ESTADUAL,24
2010,SE,DEPUTADO FEDERAL,8
2010,SP,DEPUTADO ESTADUAL,94
2010,SP,DEPUTADO FEDERAL,70
2010,TO,DEPUTADO ESTADUAL,24
2010,TO,DEPUTADO FEDERAL,8
2014,AC,DEPUTADO ESTADUAL,24
2014,AC,DEPUTADO FEDERAL,8
2014,AL,DEPUTADO ESTADUAL,27
2014,AL,DEPUTADO FEDERAL,9
2014,AM,DEPUTADO ESTADUAL,24
2014,AM,DEPUTADO FEDERAL,8
2014,AP,DEPUTADO ESTADUAL,24
2014,AP,DEPUTADO FEDERAL,8
2014,BA,DEPUTADO ESTADUAL,63
2014,BA,DEPUTADO FEDERAL,39
2014,CE,DEPUTADO ESTADUAL,46
2014,CE,DEPUTADO FEDERAL,22
2014,DF,DEPUTADO FEDERAL,8
2014,ES,DEPUTADO ESTADUAL,30
2014,ES,DEPUTADO FEDERAL,10
2014,GO,DEPUTADO ESTADUAL,41
2014,GO,DEPUTADO FEDERAL,17
2014,MA,DEPUTADO ESTADUAL,42
2014,MA,DEPUTADO FEDERAL,18
2014,MG,DEPUTADO ESTADUAL,77
2014,MG,DEPUTADO FEDERAL,53
2014,MS,DEPUTADO ESTADUAL,24
2014,MS,DEPUTADO FEDERAL,8
2014,MT,DEPUTADO ESTADUAL,24
2014,MT,DEPUTADO FEDERAL,8
2014,PA,DEPUTADO ESTADUAL,41
2014,PA,DEPUTADO FEDERAL,17
2014,PB,DEPUTADO ESTADUAL,36
2014,PB,DEPUTADO FEDERAL,12
2014,PE,DEPUTADO ESTADUAL,49
2014,PE,DEPUTADO FEDERAL,25
2014,PI,DEPUTADO ESTADUAL,30
2014,PI,DEPUTADO FEDERAL,10
2014,PR,DEPUTADO ESTADUAL,54
2014,PR,DEPUTADO FEDERAL,30
2014,RJ,DEPUTADO ESTADUAL,70
2014,RJ,DEPUTADO FEDERAL,46
2014,RN,DEPUTADO ESTADUAL,24
2014,RN,DEPUTADO FEDERAL,8
2014,RO,DEPUTADO ESTADUAL,24
2014,RO,DEPUTADO FEDERAL,8
2014,RR,DEPUTADO ESTADUAL,24
2014,RR,DEPUTADO FEDERAL,8
2014,RS,DEPUTADO ESTADUAL,55
2014,RS,DEPUTADO FEDERAL,31
2014,SC,DEPUTADO ESTADUAL,40
2014,SC,DEPUTADO FEDERAL,16
2014,SE,DEPUTADO ESTADUAL,24
