year,model,handling,variable,beta_original,beta_corrected,se_original,se_corrected,p_corrected
2018,R1,mass_weighted_PPML,competitivo,2.098899893136021,2.0988998931360228,0.08287266821696183,0.08291642173863846,2.2720586140471035e-141
2018,R1,mass_weighted_PPML,mulher,0.4424290645995029,0.44242906459950215,0.05735585678568153,0.057326123113500646,1.1839501874775762e-14
2018,R1,mass_weighted_PPML,negra,-0.3068566670233985,-0.3068566670233999,0.06283553109421751,0.06284201950605388,1.044915830513326e-06
2018,R1,renormalized_retained,competitivo,2.098899893136021,2.099088350069586,0.08287266821696183,0.08287901667555148,1.605283176237618e-141
2018,R1,renormalized_retained,mulher,0.4424290645995029,0.4419750644102524,0.05735585678568153,0.05733320596601516,1.2692218606835482e-14
2018,R1,renormalized_retained,negra,-0.3068566670233985,-0.30707293616588005,0.06283553109421751,0.0628251757758794,1.0200166721950053e-06
2018,R2,mass_weighted_PPML,n_eleicoes_governador,1.2773019179262664,1.277301917926266,0.4093233955511377,0.4093231839779802,0.0018053093628302745
2018,R2,mass_weighted_PPML,n_eleicoes_senador,1.3242357886352776,1.3242357886352862,0.26628942572197206,0.26631441325453137,6.611114881590063e-07
2018,R2,mass_weighted_PPML,n_eleicoes_deputado_federal,0.6934584012539853,0.6934584012539908,0.03812247498425139,0.03813331175837657,6.772163219603708e-74
2018,R2,mass_weighted_PPML,n_eleicoes_deputado_estadual,0.537725074838399,0.5377250748383989,0.04968483029039646,0.049688179055653744,2.708262073803923e-27
2018,R2,mass_weighted_PPML,n_eleicoes_prefeito,0.4541329640475992,0.45413296404759884,0.06820039208516214,0.06820077801333953,2.7613775519884615e-11
2018,R2,mass_weighted_PPML,n_eleicoes_vereador,0.26131687008216853,0.2613168700821684,0.04101956649934139,0.04101739052041909,1.8794674119471644e-10
2018,R2,mass_weighted_PPML,prop_votos_nominais_lag,1.414978732340441,1.4149787323404421,0.2547436173776281,0.25474321245957693,2.7836022910827795e-08
2018,R2,mass_weighted_PPML,qe_sem_vitoria,1.0599617562082957,1.059961756208298,0.14195210933126398,0.1419597610977444,8.227140729707741e-14
2018,R2,mass_weighted_PPML,mulher,0.3666987046634816,0.3666987046634814,0.05778913820297026,0.057757299744594245,2.1677736279018924e-10
2018,R2,mass_weighted_PPML,negra,-0.30658273777940215,-0.3065827377794036,0.06140624717233827,0.06141271592031152,5.970456841445738e-07
2018,R2,renormalized_retained,n_eleicoes_governador,1.2773019179262664,1.2772290150981513,0.4093233955511377,0.40926970393703577,0.0018039022851514886
2018,R2,renormalized_retained,n_eleicoes_senador,1.3242357886352776,1.3239557889095792,0.26628942572197206,0.2664163918881371,6.712638224932007e-07
2018,R2,renormalized_retained,n_eleicoes_deputado_federal,0.6934584012539853,0.6931625860648404,0.03812247498425139,0.03804428799923936,3.589026456958316e-74
2018,R2,renormalized_retained,n_eleicoes_deputado_estadual,0.537725074838399,0.5378372538667909,0.04968483029039646,0.04968789613352231,2.6405686337281044e-27
