year,model,variable,cluster,n_clusters,beta,se,ratio,p_norm,p_t
2018,R1,competitivo,lista_id,649,2.098899893136021,0.08287266821696183,8.157191192675636,1.6189361168763773e-141,6.7065398070832e-99
2018,R1,mulher,lista_id,649,0.4424290645995029,0.05735585678568153,1.5564834291222238,1.2216826809655384e-14,4.625076260342484e-14
2018,R1,negra,lista_id,649,-0.3068566670233985,0.06283553109421751,0.7357560514547099,1.0422461232959007e-06,1.3143563295628567e-06
2018,R1,competitivo,sg_partido,35,2.098899893136021,0.08458835671352531,8.157191192675636,6.473181271583704e-136,2.3075420291267676e-23
2018,R1,mulher,sg_partido,35,0.4424290645995029,0.06379487813889298,1.5564834291222238,4.056996810597694e-12,5.401912773769486e-08
2018,R1,negra,sg_partido,35,-0.3068566670233985,0.04718350220411869,0.7357560514547099,7.848613387119818e-11,1.9256092553041576e-07
2018,R1,competitivo,sg_uf,27,2.098899893136021,0.11249898656010088,8.157191192675636,1.1066245504845095e-77,1.4151354044305792e-16
2018,R1,mulher,sg_uf,27,0.4424290645995029,0.06605675791026243,1.5564834291222238,2.117096295983265e-11,4.1729877092369594e-07
2018,R1,negra,sg_uf,27,-0.3068566670233985,0.05384702703870603,0.7357560514547099,1.2074267436793272e-08,5.374694952658313e-06
2018,R2,n_eleicoes_governador,lista_id,649,1.2773019179262664,0.4093233955511377,3.5869487757679033,0.0018053192496627945,0.001885533369889737
2018,R2,n_eleicoes_senador,lista_id,649,1.3242357886352776,0.26628942572197206,3.7593113485095113,6.595216639275569e-07,8.456111469509812e-07
2018,R2,n_eleicoes_deputado_federal,lista_id,649,0.6934584012539853,0.03812247498425139,2.000622538256449,6.162729182287232e-74,4.8225913159628186e-60
2018,R2,n_eleicoes_deputado_estadual,lista_id,649,0.537725074838399,0.04968483029039646,1.7121075120431568,2.6867894429931855e-27,3.3093594020323607e-25
2018,R2,n_eleicoes_prefeito,lista_id,649,0.4541329640475992,0.06820039208516214,1.5748073763177253,2.760669811444406e-11,5.893281331288187e-11
2018,R2,n_eleicoes_vereador,lista_id,649,0.26131687008216853,0.04101956649934139,1.2986391001229387,1.8836138422875918e-10,3.5727410089189846e-10
2018,R2,prop_votos_nominais_lag,lista_id,649,1.414978732340441,0.2547436173776281,4.116398918871487,2.7837429805093356e-08,4.066297091719468e-08
2018,R2,qe_sem_vitoria,lista_id,649,1.0599617562082957,0.14195210933126398,2.8862606056078217,8.202025661548111e-14,2.657720155479232e-13
2018,R2,mulher,lista_id,649,0.3666987046634816,0.05778913820297026,1.442963095561852,2.2176082213724096e-10,4.166077817006807e-10
2018,R2,negra,lista_id,649,-0.30658273777940215,0.06140624717233827,0.7359576241607196,5.954217263296869e-07,7.663178969882888e-07
2018,R2,n_eleicoes_governador,sg_partido,35,1.2773019179262664,0.43493765007155966,3.5869487757679033,0.0033167437821437955,0.005914208124252625
2018,R2,n_eleicoes_senador,sg_partido,35,1.3242357886352776,0.24278322146593564,3.7593113485095113,4.913963373546817e-08,4.411116021219212e-06
2018,R2,n_eleicoes_deputado_federal,sg_partido,35,0.6934584012539853,0.05820058654419202,2.000622538256449,9.889854163248168e-33,1.0955011604840755e-13
