ano_eleicao,sg_uf,sg_partido,nr_candidato,nm_candidato,vr_receita_recursos_partidos,prop_vr_receita_candidato,prop_votos_nominais_lag,negra,mulher
2022,MG,PDT,1223,JACKSON INACIO DE OLIVEIRA,33025.52,0.005880457513936086,0.0,0.0,0.0
2022,MG,PDT,1230,MIRIAN CRISTINA CORREA ALVES,604000.0,0.10754702237595036,0.0,1.0,1.0
2022,MG,PDT,1231,JACQUELINE CALIXTO BARBOSA DE JESUS,32025.72,0.005702435141466757,0.0,1.0,1.0
2022,MG,PDT,1233,KÁTIA GERALDA SILVA GOYATA,280000.0,0.04985623553852004,0.049209582722612805,1.0,1.0
2022,MG,PDT,1234,MÁRIO LÚCIO HERINGER,1249575.16,0.22249683392872807,0.368693016669565,0.0,0.0
2022,MG,PDT,1235,JOÃO PAULO FERREIRA ALBANO,8724.119999999999,0.0015533992199511192,0.0,0.0,0.0
2022,MG,PDT,1236,ANDERSON BRITO PEREIRA,18025.52,0.003209587752943942,0.0,1.0,0.0
2022,MG,PDT,1240,NILVAN JUSTINO MOREIRA BAETA,121724.12,0.021673951419425276,0.0,1.0,0.0
2022,MG,PDT,1241,MAERCIO ANTONIO DE OLIVEIRA,33025.52,0.005880457513936086,0.0,0.0,0.0
2022,MG,PDT,1244,IVAN DE ASSIS SOARES,51301.4,0.009134623863770829,0.0,1.0,0.0
2022,MG,PDT,1245,NADIR GRACIANO BRANDÃO,11724.119999999999,0.002087573172149548,0.006835929413128628,1.0,0.0
2022,MG,PDT,1247,ÉDIO VIEIRA DE SOUZA,19000.0,0.0033831016972567167,0.0,1.0,0.0
2022,MG,PDT,1250,ALEXANDRE MAGNUS MELO MARTINS,39178.82,0.006976101707290285,0.0,0.0,0.0
2022,MG,PDT,1251,DEUSDETE ANTÔNIO DE CARVALHO,5000.0,0.000890289920330715,0.0,0.0,0.0
2022,MG,PDT,1255,NEUZA APARECIDA FERREIRA ALVES,243571.41999999998,0.043369836021327816,0.0,0.0,1.0
2022,MG,PDT,1256,WANDERLEI FERNANDES BATISTA,14724.119999999999,0.002621747124347977,0.0,0.0,0.0
2022,MG,PDT,1258,LUCIANA APARECIDA ROQUE DE SÁ,8000.0,0.001424463872529144,0.001527836434551462,0.0,1.0
2022,MG,PDT,1260,LUIZ ALBERTO PIMENTA FELICIO DOS SANTOS,5000.0,0.000890289920330715,0.0,0.0,0.0
2022,MG,PDT,1262,MÁRCIA NONATO SILVEIRA,9000.0,0.0016025218565952869,0.0,1.0,1.0
2022,MG,PDT,1264,WALTER HERNAN PHILIPPSON GUZMAN,21025.519999999997,0.0037437617051423702,0.0,0.0,0.0
2022,MG,PDT,1265,ROSANE ALVES DA SILVA,22025.73,0.003921857081385168,0.0,0.0,1.0
2022,MG,PDT,1266,FERNANDO DE JESUS PEREIRA CAMPOS,0.0,0.0,0.0,0.0,0.0
2022,MG,PDT,1269,SIMONE DOS SANTOS PEREIRA,64368.729999999996,0.01146136630069786,0.0,1.0,1.0
2022,MG,PDT,1278,JOSIMAR JOSE ROCHA,20000.0,0.00356115968132286,0.0026374845767189194,0.0,0.0
2022,MG,PDT,1280,DELIO PINHEIRO NETO,281799.12,0.05017658321881312,0.0,0.0,0.0
2022,MG,PDT,1288,MACIEL MOREIRA DA SILVA,21724.12,0.003868153012810978,0.0,0.0,0.0
2022,MG,PDT,1290,ARLAN DIAS MARTINS,21236.12,0.0037812607165867004,0.0,0.0,0.0
2022,MG,PDT,1299,RAIMUNDO DE SOUZA ESTEVES,20000.0,0.00356115968132286,0.0,1.0,0.0
2022,MG,PROS,9000,ARNALDO GONTIJO DE FREITAS,700000.0,0.07668904597276596,0.0,0.0,0.0
2022,MG,PROS,9001,WELITON ROGÉRIO DE SOUZA BRAGA,120000.0,0.013146693595331308,0.0,1.0,0.0
2022,MG,PROS,9002,CAMILA GABRIELA DE LIMA GUILHERME,20013.15,0.002192556257728373,0.0,0.0,1.0
2022,MG,PROS,9003,ERIKA ROCHA ALVES PINTO RODRIGUES SOARES,200000.0,0.021911155992218847,0.0,1.0,1.0
2022,MG,PROS,9005,MARILDA MACIEL PASSOS,100013.15,0.01095701865461591,0.0,1.0,1.0
2022,MG,PROS,9006,JOSÉ CARLOS DE SOUZA,0.0,0.0,0.0,1.0,0.0
2022,MG,PROS,9007,ALCINDOR RIBEIRO DAMASCENO,220000.0,0.02410227159144073,0.0,1.0,0.0
2022,MG,PROS,9008,CARLOS ALBERTO MONTEIRO,15504.0,0.0016985528125168048,0.0,1.0,0.0
2022,MG,PROS,9009,EDER AUGUSTO COSTA,115000.0,0.012598914695525836,0.0,1.0,0.0
2022,MG,PROS,9010,GLAYSON MATIAS BARBOSA,75000.0,0.008216683497082067,0.0,1.0,0.0
2022,MG,PROS,9011,WANDERSON FERREIRA,35000.0,0.003834452298638298,0.0,0.0,0.0
2022,MG,PROS,9012,ELOÍSA RODRIGUES DA CUNHA,200013.15,0.021912596650725334,0.0,0.0,1.0
2022,MG,PROS,9013,RONALDO DORNELAS,40000.0,0.004382231198443769,0.0,0.0,0.0
2022,MG,PROS,9014,MARGARETH DIONISIA COSTA BRANCO,50000.0,0.005477788998054712,0.0,0.0,1.0
2022,MG,PROS,9015,GLAUSIANO SILVA DUARTE,15000.0,0.0016433366994164135,0.0,1.0,0.0
2022,MG,PROS,9018,CRISTIANE MENDES EUZÉBIO,135000.0,0.01479003029474772,0.0012191405059433099,1.0,1.0
2022,MG,PROS,9020,RUTE DA SILVA TEIXEIRA,75013.15,0.008218124155588554,0.0,1.0,1.0
2022,MG,PROS,9021,JACKELINE PANTOJA ARAUJO,50000.0,0.005477788998054712,0.0,0.0,1.0
2022,MG,PROS,9022,GUILHERME AUGUSTO MARTINS,35000.0,0.003834452298638298,0.0,1.0,0.0
2022,MG,PROS,9023,JOSÉ ROBERTO DE OLIVEIRA,65000.0,0.007121125697471125,0.0,0.0,0.0
2022,MG,PROS,9024,ALINE MARISCAL DOS SANTOS,225000.0,0.0246500504912462,0.0,1.0,1.0
2022,MG,PROS,9025,ROBERTO CARVALHO GOES,70000.0,0.007668904597276596,0.0,1.0,0.0
2022,MG,PROS,9030,BETHANIA REIS DE SOUZA GRACIOLI,180000.0,0.019720040392996963,0.0,0.0,1.0
2022,MG,PROS,9031,FÁBIO PEREIRA DA SILVA,60000.0,0.006573346797665654,0.0,1.0,0.0
2022,MG,PROS,9033,EDIVALDO MACHADO,105000.0,0.011503356895914894,0.0,1.0,0.0
2022,MG,PROS,9034,RICARDO GONÇALVES CAMPOS,25000.0,0.002738894499027356,0.0,0.0,0.0
2022,MG,PROS,9035,MÁRCIO HENRIQUE NOGUEIRA JORDÃO,35000.0,0.003834452298638298,0.0,1.0,0.0
2022,MG,PROS,9038,ALYSSON FELIPE ALVES GOMES,45000.0,0.004930010098249241,0.0,1.0,0.0
2022,MG,PROS,9040,JOÃO BATISTA DE OLIVEIRA,450000.0,0.0493001009824924,0.0,1.0,0.0
2022,MG,PROS,9044,LUIZ CLÁUDIO RIBEIRO,90000.0,0.009860020196498481,0.0,1.0,0.0
2022,MG,PROS,9045,JACQUELINE MARIA VERDE DE OLIVEIRA,150013.15,0.01643480765267062,0.0,1.0,1.0
2022,MG,PROS,9047,RANDOLFO JOSE BARBOSA,12500.0,0.001369447249513678,0.0,1.0,0.0
2022,MG,PROS,9050,WANDERSON SILVA GANDRA,450000.0,0.0493001009824924,0.0,1.0,0.0
2022,MG,PROS,9051,MARIA APARECIDA DA CUNHA SANGUINETE,100013.15,0.01095701865461591,0.0,1.0,1.0
2022,MG,PROS,9055,MARIA STELLA DE CARVALHO,133013.15,0.01457235939333202,0.0,1.0,1.0
2022,MG,PROS,9060,ALANDERSON DAMASCENO GOMIDE,45000.0,0.004930010098249241,0.0,,0.0
2022,MG,PROS,9066,MARIO JUSTINO DA SILVA,30000.0,0.003286673398832827,0.0,1.0,0.0
2022,MG,PROS,9069,LINDOMAR LISANDRO DE FREITAS,25000.0,0.002738894499027356,0.0,1.0,0.0
2022,MG,PROS,9070,ADRIANA MARRA DE PAULA,200000.0,0.021911155992218847,0.0,0.0,1.0
2022,MG,PROS,9072,PRISCILA SILVA MACHADO COELHO,80000.0,0.008764462396887537,0.0,0.0,1.0
2022,MG,PROS,9075,MARCEL AMORIM,25000.0,0.002738894499027356,0.0,,0.0
2022,MG,PROS,9077,ADRIANO CÂNDIDO DA SILVA,20000.0,0.0021911155992218843,0.0,0.0,0.0
2022,MG,PROS,9078,DALTO UMBERTO RODRIGUES,500000.0,0.05477788998054711,0.0,0.0,0.0
2022,MG,PROS,9080,DEVAND ANDRADE PEREIRA,40000.0,0.004382231198443769,0.0,0.0,0.0
2022,MG,PROS,9083,ANTÔNIO ALVES PEREIRA,20000.0,0.0021911155992218843,0.0,1.0,0.0
2022,MG,PROS,9088,CLEINES PINTO DE OLIVEIRA,105000.0,0.011503356895914894,0.0,1.0,0.0
2022,MG,PROS,9090,WELITON FERNANDES PRADO,2944148.0,0.32254843046089565,0.34542046979686336,1.0,0.0
2022,MG,PROS,9091,JACQUELINE LUCY DOS SANTOS,97513.15,0.010683129204713175,0.0,1.0,1.0
2022,MG,PROS,9093,PEDRO PAULO DE SOUZA,80000.0,0.008764462396887537,0.0,0.0,0.0
2022,MG,PROS,9094,POLYANE SILVA MELO,60013.15,0.006574787456172142,0.0,0.0,1.0
2022,MG,PROS,9096,EMILY LISLEY DA SILVA,350000.0,0.03834452298638298,0.0,0.0,1.0
2022,MG,PROS,9097,LINDOLFO ALVES DE CARVALHO NETO,30000.0,0.003286673398832827,0.0,1.0,0.0
2022,MG,PROS,9099,MOAMED RACHID GARIFF NOLETO DE QUEIROZ,80000.0,0.008764462396887537,0.0,0.0,0.0
2022,MG,PSC,2000,DUARTE EUSTÁQUIO GONÇALVES JUNIOR,800000.0,0.11970435866388539,0.0,0.0,0.0
2022,MG,PSC,2001,FABIO DE SOUZA SANTANA,10925.27,0.001634753048224734,0.0,1.0,0.0
2022,MG,PSC,2002,ALEXANDRE CÂNDIDO RODRIGUES,0.0,0.0,0.0,,0.0
2022,MG,PSC,2004,VITOR DA SILVA SEVERIANO,10000.0,0.0014963044832985673,0.0,1.0,0.0
2022,MG,PSC,2007,WALDONIR SOARES DE SOUZA,10925.27,0.001634753048224734,0.0,0.0,0.0
2022,MG,PSC,2008,TARCÍSIO PEREIRA DA COSTA,30925.27,0.004627362014821869,0.0,0.0,0.0
2022,MG,PSC,2009,ANA CLEYDE MOREIRA,10925.27,0.001634753048224734,0.0,1.0,1.0
2022,MG,PSC,2010,EDWARD DA SILVA RAMOS,30925.27,0.004627362014821869,0.0,0.0,0.0
2022,MG,PSC,2011,MARCUS VINICIUS DOS SANTOS BARBOSA,10000.0,0.0014963044832985673,0.0,1.0,0.0
2022,MG,PSC,2012,KATIA REGINA OLIVEIRA DIAS,1389000.0,0.207836692730171,0.0,0.0,1.0
2022,MG,PSC,2015,EUCLYDES MARCOS PETTERSEN NETO,2691000.0,0.40265553645564445,0.33250355075673116,0.0,0.0
2022,MG,PSC,2016,MARIA MARGARIDA BERNARDES,10000.0,0.0014963044832985673,0.0,1.0,1.0
2022,MG,PSC,2017,ALEXANDRE AUGUSTO SOUZA CARMO,10000.0,0.0014963044832985673,0.0,0.0,0.0
2022,MG,PSC,2018,ROGERIO CAMPOS MACHADO,70925.27,0.010612579948016138,0.0,0.0,0.0
2022,MG,PSC,2019,CINTHIA PINHEIRO AQUINO,5925.27,0.0008866008065754503,0.0,1.0,1.0
2022,MG,PSC,2020,FABIANO GALLETTI TOLENTINO,800000.0,0.11970435866388539,0.0,0.0,0.0
2022,MG,PSC,2022,ILACIR BICALHO DE BARROS,250000.0,0.03740761208246418,0.0,0.0,0.0
2022,MG,PSC,2025,MESSIAS LOPES FERREIRA,0.0,0.0,0.0,1.0,0.0
2022,MG,PSC,2030,ESTEVÃO PAULINO DOS SANTOS,70411.76,0.010535743216494272,0.0,1.0,0.0
2022,MG,PSC,2032,EVALDO FERREIRA ALVES,0.0,0.0,0.0,1.0,0.0
2022,MG,PSC,2033,JOSE GERALDO CALDEIRA,30925.27,0.004627362014821869,0.0,0.0,0.0
2022,MG,PSC,2034,ADEMIR SANTOS DE CARVALHO,30925.27,0.004627362014821869,0.0,,0.0
2022,MG,PSC,2035,ANTONIO EPAMINONDAS DE ARAÚJO,10000.0,0.0014963044832985673,0.0,0.0,0.0
2022,MG,PSC,2037,CLAUDIA RIBEIRO DE SOUZA,10925.27,0.001634753048224734,0.0,0.0,1.0
2022,MG,PSC,2038,ROQUE SALDANHA ROSA,0.0,0.0,0.0,1.0,0.0
2022,MG,PSC,2040,OSWALDO BENTO PEREIRA SANCHES,925.27,0.00013844856492616653,0.0,1.0,0.0
2022,MG,PSC,2043,MICHELE CARDOSO GOMES DE FARIA,10000.0,0.0014963044832985673,0.0,,1.0
2022,MG,PSC,2044,MÁRCIO CHALEGRE COIMBRA,0.0,0.0,0.0,0.0,0.0
2022,MG,PSC,2045,RAILAND MARTINS,0.0,0.0,0.0,1.0,1.0
2022,MG,PSC,2047,KERLEY CRISTINA PEREIRA GOMES,15925.27,0.0023829052898740174,0.0,,1.0
2022,MG,PSC,2050,LUCIA DE FATIMA TEIXEIRA CORRADO,50925.27,0.007619970981419003,0.0,0.0,1.0
2022,MG,PSC,2055,AUCIONI RUFINO DE SOUZA,100513.51,0.015039881564507538,0.0,0.0,1.0
2022,MG,PSC,2058,GLEICE KELLY DA SILVA OLIVEIRA,10925.27,0.001634753048224734,0.0,1.0,1.0
2022,MG,PSC,2065,ALINE DA SILVA PEDRO,10925.27,0.001634753048224734,0.0,1.0,1.0
2022,MG,PSC,2066,CLÁUDIO GOMES FERNANDES,10000.0,0.0014963044832985673,0.0,1.0,0.0
2022,MG,PSC,2070,MAGNUS CARLO DE OLIVEIRA COSTA,10925.27,0.001634753048224734,0.0,0.0,0.0
2022,MG,PSC,2075,FLÁVIO DUTRA DE SOUZA TEIXEIRA,925.27,0.00013844856492616653,0.0,1.0,0.0
2022,MG,PSC,2076,LEONARDO COSTA SCOTTINI,925.27,0.00013844856492616653,0.0,0.0,0.0
2022,MG,PSC,2077,ARANÍSIO JOAQUIM MARTINS JUNIOR,75925.27,0.011360732189665422,0.0,0.0,0.0
2022,MG,PSC,2078,VALERIA MARIA SANTANA,10925.27,0.001634753048224734,0.0,1.0,1.0
2022,MG,PSC,2080,CLEBER DORCELINO DE SOUZA,10000.0,0.0014963044832985673,0.0,1.0,0.0
2022,MG,PSC,2083,HELENA DOS SANTOS MORAES,30925.27,0.004627362014821869,0.0,1.0,1.0
2022,MG,PSC,2089,DARCILENE DE JESUS COSTA,15925.27,0.0023829052898740174,0.0,1.0,1.0
2022,MG,PSC,2095,RICARDO MIGUEL ANDRADE,10925.27,0.001634753048224734,0.0,0.0,0.0
2022,MG,PSC,2099,WILSON PESSOA DE CARVALHO,10925.27,0.001634753048224734,0.0,0.0,0.0
2022,MT,PDT,1200,RODRIGO OLIVEIRA DA SILVA,7000.0,0.0440251572327044,0.0,1.0,0.0
2022,MT,PDT,1212,VINICIUS MODOLO TEIXEIRA,22500.0,0.14150943396226415,0.0,0.0,0.0
2022,MT,PDT,1216,MARA RUBIA GARCIA BADAN,18500.0,0.11635220125786164,0.0,0.0,1.0
2022,MT,PDT,1221,WAGNER JOSÉ DOS SANTOS,18500.0,0.11635220125786164,0.0,,0.0
2022,MT,PDT,1225,LUCIO WA ANE TEROWA A,18500.0,0.11635220125786164,0.0,0.0,0.0
2022,MT,PDT,1234,ROBERTINO FRANCISCO SOBRINHO,18500.0,0.11635220125786164,0.0,0.0,0.0
2022,MT,PDT,1242,JESSICA FERNANDA FERREIRA DA SILVA,18500.0,0.11635220125786164,0.0,1.0,1.0
2022,MT,PDT,1255,MARCELO TERRA DE ALMEIDA,18500.0,0.11635220125786164,0.0,0.0,0.0
2022,MT,PDT,1280,AMARANTHA TATYS PEREIRA PINTO,18500.0,0.11635220125786164,0.0,1.0,1.0
2022,PE,MDB,1500,NÉLIO FERNANDO DA FONSECA AGUIAR E SILVA,161200.0,0.01762240327820429,0.0,0.0,0.0
2022,PE,MDB,1501,MARCELO DO NASCIMENTO SILVA,92600.0,0.010123043074204202,0.0,,0.0
2022,PE,MDB,1502,ELIAS GOMES DA SILVA,1300001.0,0.14211626478950903,0.0,1.0,0.0
2022,PE,MDB,1505,GEOVANE JOVINO DA SILVA,400000.0,0.043728047836735215,0.0,1.0,0.0
2022,PE,MDB,1507,SIMONE MARIA DE SOUZA LINS,70000.0,0.007652408371428662,0.0,1.0,1.0
2022,PE,MDB,1510,SINÉSIO MONTEIRO DE MELO FILHO,84800.0,0.009270346141387865,0.0,0.0,0.0
2022,PE,MDB,1513,ANTÔNIO MARCOS CARDOSO VILAR DE CARVALHO,89800.0,0.009816946739347056,0.0,0.0,0.0
2022,PE,MDB,1515,RAUL JEAN LOUIS HENRY JÚNIOR,2614246.0,0.2857896853624842,0.9996461833455077,0.0,0.0
2022,PE,MDB,1516,SEVERINO DE SOUZA SILVA,550000.0,0.06012606577551092,0.0,0.0,0.0
2022,PE,MDB,1521,CANDIDA VALÉRIA SANTOS BOMFIM,300000.0,0.03279603587755141,0.0,0.0,1.0
2022,PE,MDB,1522,ANTÔNIO GERALDO RODRIGUES DA SILVA FILHO,1000000.0,0.10932011959183803,0.0,0.0,0.0
2022,PE,MDB,1533,IRINALDO JOÃO DA SILVA,110200.0,0.01204707717902055,0.0,1.0,0.0
2022,PE,MDB,1544,LEDJA CIBELLE ALBUQUERQUE DANTAS,60000.0,0.006559207175510282,0.0,1.0,1.0
2022,PE,MDB,1554,RITCHELLE JENSEN DOS SANTOS,60000.0,0.006559207175510282,0.0,1.0,1.0
2022,PE,MDB,1555,IZA PAULA DE DEUS E MELLO ALBUQUERQUE ARRUDA,800000.0,0.08745609567347043,0.0,0.0,1.0
2022,PE,MDB,1565,CLÉTO CORREIA LIMA JÚNIOR,504800.0,0.055184796369959835,0.0,1.0,0.0
2022,PE,MDB,1577,GERALDO TAVARES DA SILVA,89800.0,0.009816946739347056,0.0,1.0,0.0
2022,PE,MDB,1580,PRISCILA ARAÚJO FERRAZ,700000.0,0.07652408371428662,0.0,1.0,1.0
2022,PE,MDB,1588,SANDRA REGINA DA SILVA LIMA,100000.0,0.010932011959183804,0.0,1.0,1.0
2022,PE,MDB,1599,GERCINA MARIA BARBOSA DE OLIVEIRA,60000.0,0.006559207175510282,0.0,1.0,1.0
2022,PR,PRTB,2800,DEGMAR FONTES LOPES,4199.37,0.06919574408695453,0.0,0.0,1.0
2022,PR,PRTB,2802,JOSE AMERICO PEREIRA ALVIM,0.0,0.0,0.0,0.0,0.0
2022,PR,PRTB,2810,ANTONIO CARLOS MACHADO,0.0,0.0,0.0,0.0,0.0
2022,PR,PRTB,2811,ANTONIO SELEME NETO,4199.37,0.06919574408695453,0.0,0.0,0.0
2022,PR,PRTB,2815,CARLOS ROBERTO FERREIRA BASTO,4199.37,0.06919574408695453,0.0,1.0,0.0
2022,PR,PRTB,2820,JAIME JOAO DE OLIVEIRA,4199.37,0.06919574408695453,0.0,1.0,0.0
2022,PR,PRTB,2821,NOEL LEOZI PORTES,0.0,0.0,0.0,0.0,0.0
2022,PR,PRTB,2828,ADALMO ROMILSON ALVES,4581.13,0.07548625129699693,0.0,,0.0
2022,PR,PRTB,2832,SANDRA MARCIA DA SILVA,4581.13,0.07548625129699693,0.0,0.0,1.0
2022,PR,PRTB,2842,MAURICIO DE SOUZA SANTOS,4199.37,0.06919574408695453,0.0,0.0,0.0
2022,PR,PRTB,2846,DIOFANO FELIX DA SILVA,3042.38,0.0501312691892519,0.0,0.0,0.0
2022,PR,PRTB,2855,MARIA CANDIDA DE OLIVEIRA,4581.13,0.07548625129699693,0.0,0.0,1.0
2022,PR,PRTB,2875,ANTONIO WILSON CORDEIRO DE LIMA,0.0,0.0,0.0,0.0,0.0
2022,PR,PRTB,2887,RUBYA SOUZA COLFERAI,18324.52,0.3019450051879877,0.0,0.0,1.0
2022,PR,PRTB,2899,ELISANGELA DE PAULA E SILVA,4581.13,0.07548625129699693,0.0,0.0,1.0
2022,RJ,PTB,1400,ROSANGELA PEÇANHA DA SILVA BRITO DOS SANTOS,16670.0,0.0023129385135265868,0.0,,1.0
2022,RJ,PTB,1401,REGINA CÉLIA DE SOUZA BENTO SEQUEIRA,18200.0,0.002525223812008631,0.0,,1.0
2022,RJ,PTB,1402,DANIEL DA SILVA MOFACTO,29540.0,0.004098632494875547,0.0,,0.0
2022,RJ,PTB,1404,VALERIA CRISTINA ANTUNES THOME  FERREIRA,20160.0,0.0027971709917634065,0.0,,1.0
2022,RJ,PTB,1405,ANA PAULA GOLDBACH,21115.0,0.0029296758676133103,0.0,,1.0
2022,RJ,PTB,1406,CAROLINE ARIEL KIMBERLY MARTINS LEITE,18815.0,0.0026105541770847468,0.0,0.0,1.0
2022,RJ,PTB,1407,CASSIO VINICIUS LOPES PORTES,0.0,0.0,0.0,,0.0
2022,RJ,PTB,1410,PAULO SERGIO CORREIA DE QUEIROZ,8815.0,0.0012230685660909936,0.0,0.0,0.0
2022,RJ,PTB,1411,ALESSANDRE ALEX PEREIRA DOMINGUES,12305.0,0.0017073010443278134,0.0,0.0,0.0
2022,RJ,PTB,1412,ROBERTO LUCIO CERDEIRA,11115.0,0.0015421902566195567,0.0,,0.0
2022,RJ,PTB,1413,AUGUSTO ANTONIO DOS SANTOS,0.0,0.0,0.0,,0.0
2022,RJ,PTB,1414,LILIAM SÁ DE PAULA,459606.55,0.0637697474843481,0.0,,1.0
2022,RJ,PTB,1415,RITA DE CASSIA SILVA DA ROSA DOS SANTOS,21115.0,0.0029296758676133103,0.0,,1.0
