arquivo,quantidade,ano_eleicao,modelo,termo,antes,depois,dif
coeficientes.csv,beta,2018,R2,n_eleicoes_governador,1.2773019179262664,1.277301917926266,-4.440892098500626e-16
coeficientes.csv,beta,2018,R2,n_eleicoes_senador,1.3242357886352776,1.3242357886352862,8.659739592076221e-15
coeficientes.csv,beta,2018,R2,n_eleicoes_deputado_federal,0.6934584012539853,0.6934584012539908,5.551115123125783e-15
coeficientes.csv,beta,2018,R2,n_eleicoes_deputado_estadual,0.537725074838399,0.5377250748383989,-1.1102230246251565e-16
coeficientes.csv,beta,2018,R2,n_eleicoes_prefeito,0.4541329640475992,0.4541329640475988,-3.885780586188048e-16
coeficientes.csv,beta,2018,R2,n_eleicoes_vereador,0.2613168700821685,0.2613168700821684,-5.551115123125783e-17
coeficientes.csv,beta,2018,R2,prop_votos_nominais_lag,1.414978732340441,1.414978732340442,8.881784197001252e-16
coeficientes.csv,beta,2018,R2,qe_sem_vitoria,1.0599617562082957,1.059961756208298,2.220446049250313e-15
coeficientes.csv,beta,2018,R2,mulher,0.3666987046634816,0.3666987046634814,-1.6653345369377348e-16
coeficientes.csv,beta,2018,R2,negra,-0.3065827377794021,-0.3065827377794036,-1.4988010832439613e-15
coeficientes.csv,beta,2018,R1,competitivo,2.098899893136021,2.0988998931360228,1.7763568394002505e-15
coeficientes.csv,beta,2018,R1,mulher,0.4424290645995029,0.4424290645995021,-7.771561172376096e-16
coeficientes.csv,beta,2018,R1,negra,-0.3068566670233985,-0.3068566670233999,-1.4432899320127035e-15
coeficientes.csv,beta,2022,R2,n_eleicoes_governador,0.2879529755503588,0.2879529755503643,5.495603971894525e-15
coeficientes.csv,beta,2022,R2,n_eleicoes_senador,1.238563631134978,1.238563631134977,-8.881784197001252e-16
coeficientes.csv,beta,2022,R2,n_eleicoes_deputado_federal,0.4391532878113118,0.4391532878113151,3.2751579226442118e-15
coeficientes.csv,beta,2022,R2,n_eleicoes_deputado_estadual,0.3902687636071005,0.390268763607104,3.497202527569243e-15
coeficientes.csv,beta,2022,R2,n_eleicoes_prefeito,0.3525507737724911,0.3525507737724959,4.773959005888173e-15
coeficientes.csv,beta,2022,R2,n_eleicoes_vereador,0.1667695637018692,0.1667695637018708,1.582067810090848e-15
coeficientes.csv,beta,2022,R2,prop_votos_nominais_lag,1.0248886605692342,1.0248886605692369,2.6645352591003757e-15
coeficientes.csv,beta,2022,R2,qe_sem_vitoria,0.5313869020055765,0.5313869020055844,7.882583474838611e-15
coeficientes.csv,beta,2022,R2,mulher,0.2803402243589388,0.2803402243589655,2.6700863742235015e-14
